adaptation_fraction,repeat,adaptation_n,evaluation_n,method,score_threshold,platt_slope,platt_intercept,brier,log_loss,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,predicted_real_rate
0.05,160,1029,19558,locked_zero_threshold,0.0,,,,,0.4340423356171388,0.5154626383144446,0.42501215571900136,0.6670349094122846,0.36389036721660456,0.3567338173637386
0.05,160,1029,19558,adaptation_balanced_accuracy_threshold,-0.08190691419068363,,,,,0.4612946109009101,0.5172861307278601,0.4445477580794448,0.6215201060539107,0.41305215540180945,0.40505164127211374
0.05,160,1029,19558,adaptation_platt_probability_0.5,,0.07412979954948964,1.2179624580520776,0.177943076919743,0.5411934646840546,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,161,1029,19558,locked_zero_threshold,0.0,,,,,0.4350138050925452,0.5165578861133956,0.4259467330511356,0.668360583296509,0.3647551889302821,0.35709172717046733
0.05,161,1029,19558,adaptation_balanced_accuracy_threshold,0.3542149843496302,,,,,0.33551487882196546,0.5099687759940379,0.33379407097150326,0.8347326557666814,0.18520489622139436,0.18059106248082626
0.05,161,1029,19558,adaptation_platt_probability_0.5,,0.024611304363302725,1.2067071185900715,0.17786748202713756,0.5409942914082393,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,162,1029,19558,locked_zero_threshold,0.0,,,,,0.4365477042642397,0.5182506513722265,0.42741530782409043,0.6703490941228458,0.36615220862160724,0.3577052868391451
0.05,162,1029,19558,adaptation_balanced_accuracy_threshold,0.36290279651759594,,,,,0.33382758973310156,0.5101064848664578,0.33186872323277405,0.8382677861246134,0.18194518360830228,0.1772676142754883
0.05,162,1029,19558,adaptation_platt_probability_0.5,,-0.1438063211599763,1.1687151511628757,0.17823151313376914,0.5419939378431121,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,163,1029,19558,locked_zero_threshold,0.0,,,,,0.4341445955619184,0.5153747421614858,0.4250710800854067,0.6665930181175431,0.3641564662054284,0.3570405971980775
0.05,163,1029,19558,adaptation_balanced_accuracy_threshold,-0.16254558895554327,,,,,0.48788219654361387,0.5126547971780102,0.45947018528022204,0.5587715422006186,0.4665380521554018,0.46068105123223235
0.05,163,1029,19558,adaptation_platt_probability_0.5,,0.011004865271832545,1.2036420071574045,0.1778617111822844,0.5409793251693051,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,164,1029,19558,locked_zero_threshold,0.0,,,,,0.43608753451273136,0.5175652377593877,0.42694015740935437,0.669244365885992,0.3658861096327834,0.3577564168115349
0.05,164,1029,19558,adaptation_balanced_accuracy_threshold,-0.3899174949600631,,,,,0.5594130279169649,0.5057592263915637,0.48884385584948653,0.4058771542200619,0.6056412985630655,0.6029757643930872
0.05,164,1029,19558,adaptation_platt_probability_0.5,,-0.1013800306376779,1.1800780762930863,0.17805260905129597,0.5415007090733879,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,165,1029,19558,locked_zero_threshold,0.0,,,,,0.436189794457511,0.5173229207062641,0.4269686888061801,0.668360583296509,0.36628525811601914,0.35826771653543305
0.05,165,1029,19558,adaptation_balanced_accuracy_threshold,0.7704787532855543,,,,,0.25871766029246346,0.49938602038438196,0.23396054802273875,0.9474149359257623,0.0513571048430016,0.05164127211371306
0.05,165,1029,19558,adaptation_platt_probability_0.5,,-0.23241008662228352,1.1506119880531784,0.17878174722497747,0.5435228126303613,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,166,1029,19558,locked_zero_threshold,0.0,,,,,0.43440024542386746,0.514846159978759,0.4251574490339648,0.6646045072912063,0.36508781266631185,0.3582165865630433
0.05,166,1029,19558,adaptation_balanced_accuracy_threshold,-0.08906117224089283,,,,,0.4633398097965027,0.5162231017194251,0.4456056961965149,0.6146707909854175,0.4177754124534327,0.41026689845587483
0.05,166,1029,19558,adaptation_platt_probability_0.5,,0.1104999970241797,1.228682778255712,0.17805331102451968,0.5414826240484746,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,167,1029,19558,locked_zero_threshold,0.0,,,,,0.4358830146231721,0.5174321882649757,0.4267624004535779,0.669244365885992,0.36562001064395955,0.35755189692197564
0.05,167,1029,19558,adaptation_balanced_accuracy_threshold,0.891506699208039,,,,,0.248900705593619,0.4999485851600251,0.2179968895926231,0.9673000441891295,0.0325971261309207,0.03262092238470191
0.05,167,1029,19558,adaptation_platt_probability_0.5,,-0.11981326421189772,1.1766270009522284,0.17812202258783016,0.5416929534362542,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,168,1029,19558,locked_zero_threshold,0.0,,,,,0.4358830146231721,0.517277767364811,0.42673231994717625,0.6688024745912505,0.3657530601383715,0.3577564168115349
0.05,168,1029,19558,adaptation_balanced_accuracy_threshold,0.20598790662676741,,,,,0.3743736578382248,0.512471097157997,0.3741663049665797,0.7695536897923111,0.25538850452368284,0.2496165252070764
0.05,168,1029,19558,adaptation_platt_probability_0.5,,-0.11111741519111892,1.174766635248586,0.1780890702908246,0.5415957208270146,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,169,1029,19558,locked_zero_threshold,0.0,,,,,0.43491154514776564,0.5148699419144593,0.42554033833094995,0.6637207247017234,0.3660191591271953,0.3591369260660599
0.05,169,1029,19558,adaptation_balanced_accuracy_threshold,0.08655981471672436,,,,,0.4061253706922998,0.5115081051423777,0.4024348801986948,0.707688908528502,0.31532730175625334,0.3100010225994478
0.05,169,1029,19558,adaptation_platt_probability_0.5,,0.24784028345748532,1.2723573583632493,0.17891235498336575,0.5437075382229452,0.768483485018918,0.499933475252794,0.434543772406615,0.0,0.999866950505588,0.9998977400552204
0.05,170,1029,19558,locked_zero_threshold,0.0,,,,,0.4357296247060027,0.5166375070934253,0.4264934302460783,0.6672558550596553,0.3660191591271953,0.35831884650782286
